ID,Recency,Frequency,Monetary,LastAmount,FirstGiftDate,LastGiftDate,R_score,F_score,M_score,RFM_Score,RFM_Segment
12347,8667,1,50.0,50.0,2001-11-19,2001-11-19,1,1,1,3,At Risk / Lapsed
12350,6630,6,700.0,100.0,2001-08-13,2007-06-18,2,4,4,10,Regular
12352,8446,3,300.0,100.0,2000-12-01,2002-06-28,1,3,3,7,Regular
12363,8446,3,300.0,100.0,2000-07-03,2002-06-28,1,3,3,7,Regular
12365,8098,2,150.0,50.0,2002-06-20,2003-06-11,1,2,2,5,At Risk / Lapsed
12371,7558,2,150.0,100.0,2004-06-30,2004-12-02,1,2,2,5,At Risk / Lapsed
12389,9073,1,200.0,200.0,2000-10-09,2000-10-09,1,1,2,4,At Risk / Lapsed
12391,9276,1,400.0,400.0,2000-03-20,2000-03-20,1,1,3,5,Regular
12399,8733,1,400.0,400.0,2001-09-14,2001-09-14,1,1,3,5,Regular
12416,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
12418,8447,3,6000.0,2000.0,2000-06-29,2002-06-27,1,3,5,9,Regular
12426,777,7,26300.0,5000.0,2000-11-10,2023-06-27,5,4,5,14,Champion
12439,8779,1,200.0,200.0,2001-07-30,2001-07-30,1,1,2,4,At Risk / Lapsed
12450,8674,1,50.0,50.0,2001-11-12,2001-11-12,1,1,1,3,At Risk / Lapsed
12455,8765,1,100.0,100.0,2001-08-13,2001-08-13,1,1,1,3,At Risk / Lapsed
12462,8820,1,100.0,100.0,2001-06-19,2001-06-19,1,1,1,3,At Risk / Lapsed
12492,53,14,8250.0,500.0,2011-08-09,2025-06-20,5,5,5,15,Champion
12494,8330,1,100.0,100.0,2002-10-22,2002-10-22,1,1,1,3,At Risk / Lapsed
12502,6328,1,26.38,26.38,2008-04-15,2008-04-15,2,1,1,4,At Risk / Lapsed
12505,8446,3,600.0,250.0,2001-06-28,2002-06-28,1,3,3,7,Regular
12515,8026,3,350.0,150.0,2000-01-31,2003-08-22,1,3,3,7,Regular
12521,8765,1,100.0,100.0,2001-08-13,2001-08-13,1,1,1,3,At Risk / Lapsed
12523,9175,1,100.0,100.0,2000-06-29,2000-06-29,1,1,1,3,At Risk / Lapsed
12531,6619,1,50.0,50.0,2007-06-29,2007-06-29,2,1,1,4,At Risk / Lapsed
12532,410,2,150.0,100.0,2023-06-20,2024-06-28,5,2,2,9,Regular
12533,7609,8,900.0,100.0,2000-07-17,2004-10-12,1,5,4,10,Regular
12535,1517,2,300.0,100.0,2020-05-27,2021-06-17,4,2,3,9,Regular
12567,8736,2,750.0,350.0,2000-01-17,2001-09-11,1,2,4,7,Regular
12572,1517,8,2140.0,500.0,2000-06-26,2021-06-17,4,5,5,14,Champion
12574,2610,14,1330.0,100.0,2000-06-16,2018-06-20,3,5,4,12,Regular
12582,9178,1,2000.0,2000.0,2000-06-26,2000-06-26,1,1,5,7,Regular
12588,8617,6,2100.0,250.0,2000-01-31,2002-01-08,1,4,5,10,Regular
12596,777,3,1750.0,500.0,2021-06-17,2023-06-27,5,3,5,13,Loyal
12598,5164,5,3250.0,1000.0,2001-06-19,2011-06-23,2,4,5,11,Regular
12604,5164,8,450.0,50.0,2000-06-22,2011-06-23,2,5,3,10,Regular
12606,8422,3,150.0,50.0,2000-06-09,2002-07-22,1,3,2,6,Regular
12626,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
12638,4733,2,200.0,100.0,2002-11-06,2012-08-27,2,2,2,6,At Risk / Lapsed
12650,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
12652,4436,1,500.0,500.0,2013-06-20,2013-06-20,3,1,3,7,Regular
12656,6971,3,800.0,250.0,2000-07-20,2006-07-12,2,3,4,9,Regular
12660,755,20,2928.0,100.0,2004-10-15,2023-07-19,5,5,5,15,Champion
12674,1880,7,8000.0,1000.0,2014-06-25,2020-06-19,4,4,5,13,Champion
12678,9339,1,200.0,200.0,2000-01-17,2000-01-17,1,1,2,4,At Risk / Lapsed
12682,9066,1,100.0,100.0,2000-10-16,2000-10-16,1,1,1,3,At Risk / Lapsed
12688,5167,4,1150.0,200.0,2003-02-11,2011-06-20,2,4,4,10,Regular
12689,4554,8,1500.0,200.0,2004-05-03,2013-02-22,2,5,4,11,Regular
12708,1162,8,980.0,500.0,2000-10-16,2022-06-07,4,5,4,13,Champion
12724,7953,3,10150.0,50.0,2000-01-31,2003-11-03,1,3,5,9,Regular
12728,1105,5,3430.0,250.0,2000-02-16,2022-08-03,4,4,5,13,Champion
12729,1517,1,150.0,150.0,2021-06-17,2021-06-17,4,1,2,7,Regular
12731,1517,3,300.0,100.0,2012-07-31,2021-06-17,4,3,3,10,Loyal
12740,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
12744,783,18,7950.0,250.0,2000-10-23,2023-06-21,5,5,5,15,Champion
12745,775,1,250.0,250.0,2023-06-29,2023-06-29,5,1,2,8,Regular
12754,306,24,530.0,20.0,2000-06-26,2024-10-10,5,5,3,13,Loyal
12757,43,27,3635.0,250.0,2000-06-22,2025-06-30,5,5,5,15,Champion
12763,9178,1,100.0,100.0,2000-06-26,2000-06-26,1,1,1,3,At Risk / Lapsed
12764,5390,12,1650.0,200.0,2000-01-31,2010-11-09,2,5,4,11,Regular
12777,9195,1,500.0,500.0,2000-06-09,2000-06-09,1,1,3,5,Regular
12779,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
12781,2287,20,2050.0,100.0,2000-06-09,2019-05-09,4,5,5,14,Champion
12782,4430,1,100.0,100.0,2013-06-26,2013-06-26,3,1,1,5,Regular
12783,7634,12,2550.0,300.0,2000-01-31,2004-09-17,1,5,5,11,Regular
12789,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
12791,1517,12,59300.0,5000.0,2001-09-11,2021-06-17,4,5,5,14,Champion
12819,8083,1,200.0,200.0,2003-06-26,2003-06-26,1,1,2,4,At Risk / Lapsed
12821,8736,1,350.0,350.0,2001-09-11,2001-09-11,1,1,3,5,Regular
12831,8617,4,1600.0,500.0,2000-07-17,2002-01-08,1,4,4,9,Regular
12835,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
12842,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
12846,8191,2,200.0,100.0,2000-06-26,2003-03-10,1,2,2,5,At Risk / Lapsed
12850,8315,2,1250.0,250.0,2000-11-03,2002-11-06,1,2,4,7,Regular
12876,666,4,900.0,250.0,2000-10-26,2023-10-16,5,4,4,13,Champion
12877,9045,2,400.0,200.0,2000-04-03,2000-11-06,1,2,3,6,Regular
12883,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
12885,9167,1,25.0,25.0,2000-07-07,2000-07-07,1,1,1,3,At Risk / Lapsed
12889,252,4,4300.0,2000.0,2000-06-14,2024-12-03,5,4,5,14,Champion
12901,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
12911,9325,1,78.0,78.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
12915,1162,3,1350.0,750.0,2001-07-20,2022-06-07,4,3,4,11,Loyal
12917,7356,4,1050.0,500.0,2002-07-10,2005-06-22,1,4,4,9,Regular
12918,5158,1,5000.0,5000.0,2011-06-29,2011-06-29,2,1,5,8,Regular
12920,9154,1,100.0,100.0,2000-07-20,2000-07-20,1,1,1,3,At Risk / Lapsed
12935,1506,6,700.0,100.0,2011-06-30,2021-06-28,4,4,4,12,Champion
12936,8092,1,100.0,100.0,2003-06-17,2003-06-17,1,1,1,3,At Risk / Lapsed
12945,7585,8,1900.0,100.0,2000-01-31,2004-11-05,1,5,5,11,Regular
12959,8733,1,30.0,30.0,2001-09-14,2001-09-14,1,1,1,3,At Risk / Lapsed
12969,7963,2,250.0,200.0,2001-06-14,2003-10-24,1,2,2,5,At Risk / Lapsed
12973,43,17,3000.0,200.0,2000-06-29,2025-06-30,5,5,5,15,Champion
12978,8446,3,2400.0,800.0,2000-06-16,2002-06-28,1,3,5,9,Regular
12980,8667,1,200.0,200.0,2001-11-19,2001-11-19,1,1,2,4,At Risk / Lapsed
12986,7714,9,4020.0,20.0,2000-01-31,2004-06-29,1,5,5,11,Regular
12992,8330,3,500.0,200.0,2001-07-30,2002-10-22,1,3,3,7,Regular
12994,8012,1,50.0,50.0,2003-09-05,2003-09-05,1,1,1,3,At Risk / Lapsed
13010,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
13014,7349,1,50.0,50.0,2005-06-29,2005-06-29,1,1,1,3,At Risk / Lapsed
13023,8092,4,1600.0,400.0,2000-06-26,2003-06-17,1,4,4,9,Regular
13027,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
13031,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
13033,7585,4,300.0,50.0,2001-10-23,2004-11-05,1,4,3,8,Regular
13043,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
13056,5893,5,140.0,20.0,2003-06-23,2009-06-24,2,4,2,8,Regular
13064,5130,1,5000.0,5000.0,2011-07-27,2011-07-27,2,1,5,8,Regular
13071,3704,7,20920.0,320.0,2000-06-22,2015-06-22,3,4,5,12,Regular
13077,9182,1,100.0,100.0,2000-06-22,2000-06-22,1,1,1,3,At Risk / Lapsed
13078,7957,3,250.0,50.0,2001-06-22,2003-10-30,1,3,2,6,Regular
13079,9175,1,25.0,25.0,2000-06-29,2000-06-29,1,1,1,3,At Risk / Lapsed
13081,994,22,8850.0,500.0,2000-01-31,2022-11-22,5,5,5,15,Champion
13091,8092,2,200.0,100.0,2002-04-30,2003-06-17,1,2,2,5,At Risk / Lapsed
13095,6446,5,500.0,100.0,2002-12-16,2007-12-19,2,4,3,9,Regular
13109,6990,3,200.0,100.0,2002-12-31,2006-06-23,2,3,2,7,Regular
13110,6423,1,50.0,50.0,2008-01-11,2008-01-11,2,1,1,4,At Risk / Lapsed
13114,8450,3,600.0,200.0,2000-07-17,2002-06-24,1,3,3,7,Regular
13116,7342,4,500.0,50.0,2000-06-02,2005-07-06,2,4,3,9,Regular
13118,470,9,3400.0,500.0,2014-06-25,2024-04-29,5,5,5,15,Champion
13128,4792,1,200.0,200.0,2012-06-29,2012-06-29,2,1,2,5,At Risk / Lapsed
13129,42,11,3300.0,200.0,2016-06-08,2025-07-01,5,5,5,15,Champion
13153,8288,1,500.0,500.0,2002-12-03,2002-12-03,1,1,3,5,Regular
13160,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
13165,6983,7,1800.0,300.0,2000-01-31,2006-06-30,2,4,5,11,Regular
13169,1154,3,230.0,100.0,2007-11-06,2022-06-15,4,3,2,9,Loyal
13171,9073,1,50.0,50.0,2000-10-09,2000-10-09,1,1,1,3,At Risk / Lapsed
13173,9175,1,250.0,250.0,2000-06-29,2000-06-29,1,1,2,4,At Risk / Lapsed
13197,9339,1,400.0,400.0,2000-01-17,2000-01-17,1,1,3,5,Regular
13206,4064,11,475.0,50.0,2003-10-24,2014-06-27,3,5,3,11,Regular
13214,6619,1,5000.0,5000.0,2007-06-29,2007-06-29,2,1,5,8,Regular
13215,789,13,2788.0,250.0,2011-06-29,2023-06-15,5,5,5,15,Champion
13218,7349,2,150.0,50.0,2003-06-23,2005-06-29,1,2,2,5,At Risk / Lapsed
13220,9178,1,250.0,250.0,2000-06-26,2000-06-26,1,1,2,4,At Risk / Lapsed
13226,4436,4,500.0,250.0,2003-06-11,2013-06-20,3,4,3,10,Regular
13230,1517,1,100.0,100.0,2021-06-17,2021-06-17,4,1,1,6,Regular
13237,8454,4,400.0,100.0,2000-01-31,2002-06-20,1,4,3,8,Regular
13243,6122,5,1000.0,200.0,2004-10-15,2008-11-07,2,4,4,10,Regular
13250,1517,1,1000.0,1000.0,2021-06-17,2021-06-17,4,1,4,9,High Potential
13253,409,9,800.0,100.0,2000-06-16,2024-06-29,5,5,4,14,Champion
13254,43,1,100.0,100.0,2025-06-30,2025-06-30,5,1,1,7,Regular
13259,4442,3,600.0,200.0,2012-11-08,2013-06-14,3,3,3,9,Regular
13260,3364,1,250.0,250.0,2016-05-27,2016-05-27,3,1,2,6,Regular
13269,6619,10,26850.0,2000.0,2000-01-17,2007-06-29,2,5,5,12,Regular
13270,53,2,4000.0,2000.0,2024-06-10,2025-06-20,5,2,5,12,High Potential
13281,1510,3,400.0,200.0,2015-06-29,2021-06-24,4,3,3,10,Loyal
13283,1079,20,2070.0,100.0,2000-06-22,2022-08-29,4,5,5,14,Champion
13291,5034,4,10200.0,100.0,2000-11-16,2011-10-31,2,4,5,11,Regular
13323,8450,3,3000.0,1000.0,2000-06-26,2002-06-24,1,3,5,9,Regular
13339,8091,4,750.0,200.0,2000-01-31,2003-06-18,1,4,4,9,Regular
13342,5170,4,400.0,100.0,2008-06-30,2011-06-17,2,4,3,9,Regular
13348,9056,1,50.0,50.0,2000-10-26,2000-10-26,1,1,1,3,At Risk / Lapsed
13352,1160,5,925.0,175.0,2013-01-30,2022-06-09,4,4,4,12,Champion
13356,9056,1,50.0,50.0,2000-10-26,2000-10-26,1,1,1,3,At Risk / Lapsed
13369,7356,2,500.0,250.0,2004-06-21,2005-06-22,1,2,3,6,Regular
13371,7957,3,10350.0,100.0,2000-10-16,2003-10-30,1,3,5,9,Regular
13378,8825,2,550.0,300.0,2000-08-07,2001-06-14,1,2,3,6,Regular
13383,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
13386,2282,10,2700.0,400.0,2000-06-26,2019-05-14,4,5,5,14,Champion
13387,4417,1,200.0,200.0,2013-07-09,2013-07-09,3,1,2,6,Regular
13398,9143,1,100.0,100.0,2000-07-31,2000-07-31,1,1,1,3,At Risk / Lapsed
13402,1517,11,1125.0,100.0,2003-08-21,2021-06-17,4,5,4,13,Champion
13403,2561,2,200.0,100.0,2013-06-24,2018-08-08,3,2,2,7,Regular
13414,9339,1,400.0,400.0,2000-01-17,2000-01-17,1,1,3,5,Regular
13416,8694,2,375.0,175.0,2000-11-16,2001-10-23,1,2,3,6,Regular
13417,8188,5,3875.0,175.0,2001-11-12,2003-03-13,1,4,5,10,Regular
13424,4799,9,2700.0,200.0,2000-11-06,2012-06-22,2,5,5,12,Regular
13430,8818,1,100.0,100.0,2001-06-21,2001-06-21,1,1,1,3,At Risk / Lapsed
13446,6592,10,4900.0,500.0,2000-01-31,2007-07-26,2,5,5,12,Regular
13454,7225,4,400.0,100.0,2000-01-31,2005-10-31,2,4,3,9,Regular
13460,8811,1,400.0,400.0,2001-06-28,2001-06-28,1,1,3,5,Regular
13493,8811,2,800.0,400.0,2000-07-10,2001-06-28,1,2,4,7,Regular
13509,6559,5,550.0,150.0,2000-01-31,2007-08-28,2,4,3,9,Regular
13510,6101,1,50.0,50.0,2008-11-28,2008-11-28,2,1,1,4,At Risk / Lapsed
13524,50,1,5000.0,5000.0,2025-06-23,2025-06-23,5,1,5,11,High Potential
13537,9066,2,1100.0,100.0,2000-06-16,2000-10-16,1,2,4,7,Regular
13539,8658,1,100.0,100.0,2001-11-28,2001-11-28,1,1,1,3,At Risk / Lapsed
13545,643,12,6350.0,600.0,2011-08-23,2023-11-08,5,5,5,15,Champion
13547,701,5,450.0,50.0,2010-08-13,2023-09-11,5,4,3,12,Loyal
13553,8736,2,750.0,350.0,2000-01-17,2001-09-11,1,2,4,7,Regular
13561,9045,1,100.0,100.0,2000-11-06,2000-11-06,1,1,1,3,At Risk / Lapsed
13565,7076,2,100.0,50.0,2005-11-30,2006-03-29,2,2,1,5,At Risk / Lapsed
13571,7565,2,200.0,100.0,2000-01-31,2004-11-25,1,2,2,5,At Risk / Lapsed
13581,5236,6,1150.0,100.0,2000-01-17,2011-04-12,2,4,4,10,Regular
13582,9164,2,1100.0,1000.0,2000-01-31,2000-07-10,1,2,4,7,Regular
13586,9325,1,25.0,25.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
13594,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
13598,9182,1,150.0,150.0,2000-06-22,2000-06-22,1,1,2,4,At Risk / Lapsed
13604,3319,2,280.0,200.0,2004-08-11,2016-07-11,3,2,3,8,Regular
13606,6630,2,260.0,10.0,2003-06-11,2007-06-18,2,2,3,7,Regular
13612,1869,6,2700.0,500.0,2003-06-30,2020-06-30,4,4,5,13,Champion
13613,43,15,7500.0,500.0,2010-06-30,2025-06-30,5,5,5,15,Champion
13632,8446,1,250.0,250.0,2002-06-28,2002-06-28,1,1,2,4,At Risk / Lapsed
13633,301,1,35000.0,35000.0,2024-10-15,2024-10-15,5,1,5,11,High Potential
13646,6819,3,650.0,150.0,2000-01-31,2006-12-11,2,3,4,9,Regular
13654,1517,12,5450.0,500.0,2000-01-31,2021-06-17,4,5,5,14,Champion
13656,7963,2,200.0,100.0,2000-01-31,2003-10-24,1,2,2,5,At Risk / Lapsed
13662,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
13664,43,29,13800.0,1000.0,2012-06-26,2025-06-30,5,5,5,15,Champion
13666,9339,1,400.0,400.0,2000-01-17,2000-01-17,1,1,3,5,Regular
13680,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
13681,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
13689,8478,1,179.0,179.0,2002-05-27,2002-05-27,1,1,2,4,At Risk / Lapsed
13691,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
13695,9059,2,200.0,100.0,2000-01-31,2000-10-23,1,2,2,5,At Risk / Lapsed
13723,2435,1,25.0,25.0,2018-12-12,2018-12-12,3,1,1,5,Regular
13739,28,7,27850.0,25000.0,2000-01-31,2025-07-15,5,4,5,14,Champion
13748,7076,1,50.0,50.0,2006-03-29,2006-03-29,2,1,1,4,At Risk / Lapsed
13755,8651,1,50.0,50.0,2001-12-05,2001-12-05,1,1,1,3,At Risk / Lapsed
13759,1912,10,2900.0,750.0,2000-03-20,2020-05-18,4,5,5,14,Champion
13760,19,1,1500.0,1500.0,2025-07-24,2025-07-24,5,1,4,10,High Potential
13761,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
13767,8478,4,3400.0,1000.0,2000-01-17,2002-05-27,1,4,5,10,Regular
13769,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
13770,6490,1,100.0,100.0,2007-11-05,2007-11-05,2,1,1,4,At Risk / Lapsed
13773,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
13779,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
13789,7113,2,100.0,50.0,2002-11-06,2006-02-20,2,2,1,5,At Risk / Lapsed
13793,1517,7,3400.0,100.0,2000-01-31,2021-06-17,4,4,5,13,Champion
13802,2247,28,26650.0,450.0,2000-11-20,2019-06-18,4,5,5,14,Champion
13803,1517,3,2000.0,500.0,2013-06-24,2021-06-17,4,3,5,12,Loyal
13819,6983,2,350.0,250.0,2004-11-05,2006-06-30,2,2,3,7,Regular
13820,29,1,250.0,250.0,2025-07-14,2025-07-14,5,1,2,8,Regular
13821,9035,1,100.0,100.0,2000-11-16,2000-11-16,1,1,1,3,At Risk / Lapsed
13827,63,29,3285.0,150.0,2000-06-26,2025-06-10,5,5,5,15,Champion
13829,4799,5,700.0,100.0,2000-06-29,2012-06-22,2,4,4,10,Regular
13841,8658,1,100.0,100.0,2001-11-28,2001-11-28,1,1,1,3,At Risk / Lapsed
13843,8085,3,2600.0,2000.0,2000-01-31,2003-06-24,1,3,5,9,Regular
13851,57,22,3925.0,1000.0,2000-06-02,2025-06-16,5,5,5,15,Champion
13855,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
13884,8330,1,30.0,30.0,2002-10-22,2002-10-22,1,1,1,3,At Risk / Lapsed
13886,6252,5,875.0,100.0,2000-01-17,2008-06-30,2,4,4,10,Regular
13890,7348,5,500.0,100.0,2001-11-20,2005-06-30,1,4,3,8,Regular
13892,1517,1,5000.0,5000.0,2021-06-17,2021-06-17,4,1,5,10,High Potential
13900,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
13912,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
13913,6819,1,50.0,50.0,2006-12-11,2006-12-11,2,1,1,4,At Risk / Lapsed
13927,8301,2,200.0,100.0,2000-01-31,2002-11-20,1,2,2,5,At Risk / Lapsed
13937,9048,4,480.0,120.0,2000-02-16,2000-11-03,1,4,3,8,Regular
13941,9178,1,50.0,50.0,2000-06-26,2000-06-26,1,1,1,3,At Risk / Lapsed
13945,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
13951,43,23,2843.0,200.0,2003-11-12,2025-06-30,5,5,5,15,Champion
13955,7840,2,200.0,100.0,2000-01-31,2004-02-24,1,2,2,5,At Risk / Lapsed
13962,4716,1,100.0,100.0,2012-09-13,2012-09-13,2,1,1,4,At Risk / Lapsed
13964,57,1,1000.0,1000.0,2025-06-16,2025-06-16,5,1,4,10,High Potential
13973,8092,3,300.0,100.0,2000-09-04,2003-06-17,1,3,3,7,Regular
13975,48,28,49050.0,5000.0,2000-01-31,2025-06-25,5,5,5,15,Champion
13987,8079,3,1600.0,500.0,2002-10-22,2003-06-30,1,3,4,8,Regular
13989,5754,1,50.0,50.0,2009-11-10,2009-11-10,2,1,1,4,At Risk / Lapsed
14003,8413,1,20.0,20.0,2002-07-31,2002-07-31,1,1,1,3,At Risk / Lapsed
14029,8674,1,50.0,50.0,2001-11-12,2001-11-12,1,1,1,3,At Risk / Lapsed
14079,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
14080,2601,7,1340.0,200.0,2012-06-27,2018-06-29,3,4,4,11,Regular
14087,9052,2,200.0,100.0,2000-01-31,2000-10-30,1,2,2,5,At Risk / Lapsed
14104,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
14108,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
14116,6620,2,150.0,50.0,2006-08-02,2007-06-28,2,2,2,6,At Risk / Lapsed
14134,9045,1,100.0,100.0,2000-11-06,2000-11-06,1,1,1,3,At Risk / Lapsed
